date,store_number,store_name,city,state,zip_code,item_number,category_name,vendor_name,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars
2012-01-31,2506,Hy-Vee #1044 / Burlington,BURLINGTON,IA,52601,75087,DISTILLED SPIRITS SPECIALTY,Luxco-St Louis,Juarez Gold Dss,12,1000,4.75,7.13,60,427.8
2012-01-31,2614,Hy-Vee #3 Food and Drugstore,DAVENPORT,IA,52807,41846,AMERICAN ALCOHOL,Luxco-St Louis,Everclear Alcohol,12,750,8.02,12.03,12,144.36
2012-01-31,2616,Hy-Vee Food and Drug / Clinton,CLINTON,IA,52732,80396,CREME DE ALMOND,Luxco-Cleveland,Paramount Creme De Almond,12,750,4.43,6.65,12,79.8
2012-01-31,4114,After 5 Somewhere,ATLANTIC,IA,50022,84568,MISCELLANEOUS SCHNAPPS,Phillips Beverage Company,Phillips Black 100 Herbal Schnapps,12,750,6.94,10.41,12,124.92
2012-01-31,2616,Hy-Vee Food and Drug / Clinton,CLINTON,IA,52732,27110,STRAIGHT RYE WHISKIES,Mississippi River Distilling Co.,Windmill Rye Whiskey,12,375,9.08,13.63,24,327.12
2012-01-31,2532,Hy-Vee Food Store #2 / Des Moines,DES MOINES,IA,50317,67526,COFFEE LIQUEURS,Pernod Ricard USA/Austin Nichols,Kahlua Coffee Liqueur,12,750,11.61,17.42,12,209.04
2012-01-31,3629,Wal-Mart 1965 / Council Bluffs,COUNCIL BLUFFS,IA,51503,41846,AMERICAN ALCOHOL,Luxco-St Louis,Everclear Alcohol,12,750,8.02,12.03,12,144.36
2012-01-31,4509,A J'S LIQUOR II,AMES,IA,50010,41846,AMERICAN ALCOHOL,Luxco-St Louis,Everclear Alcohol,12,750,8.02,12.03,12,144.36
2012-01-31,3016,Super Valu / bender's,DENVER,IA,50622,76486,AMERICAN AMARETTO,Luxco-St Louis,Paramount Amaretto,12,750,3.37,5.06,12,60.72
2012-01-31,4040,No Frills Supermarkets / Council Blu,COUNCIL BLUFFS,IA,51503,78866,WHITE CREME DE CACAO,Luxco-St Louis,Paramount Creme De Cacao/white,12,750,4.44,6.66,12,79.92
2012-01-31,2651,Hy-Vee / Waverly,WAVERLY,IA,50677,42166,JAMAICA RUM,Diageo Americas,Myers's Rum Original Dark,12,750,9.49,14.24,12,170.88
2012-01-31,4204,Fareway Stores #025 / Clinton,CLINTON,IA,52733,76486,AMERICAN AMARETTO,Luxco-St Louis,Paramount Amaretto,12,750,3.37,5.06,12,60.72
2012-01-31,3563,Wal-Mart 0559 / Muscatine,MUSCATINE,IA,52761,41846,AMERICAN ALCOHOL,Luxco-St Louis,Everclear Alcohol,12,750,8.02,12.03,12,144.36
2012-01-31,2629,Hy-Vee Food Store #2 / Council Bluff,COUNCIL BLUFFS,IA,51503,67296,MISCELLANEOUS SCHNAPPS,Diageo Americas,Yukon Jack Perma Frost Schnapps,12,750,8.54,12.81,6,76.86
2012-01-31,2603,Hy-Vee Wine and Spirits / Bettendorf,BETTENDORF,IA,52722,17766,SINGLE BARREL BOURBON WHISKIES,"Sazerac Co., Inc.",Eagle Rare,6,750,14.56,21.84,6,131.04
2012-01-31,4312,I-80 Liquor / Council Bluffs,COUNCIL BLUFFS,IA,51501,79336,GREEN CREME DE MENTHE,Luxco-St Louis,Paramount Creme De Menthe/green,12,750,4.44,6.66,6,39.96
2012-01-31,3952,Lot-A-Spirits,BETTENDORF,IA,52722,67595,COFFEE LIQUEURS,The Patron Spirits Company,Patron Xo Cafe,6,750,14.49,21.74,6,130.44
2012-01-31,2613,Hy-Vee Food Store #1 / Council Bluff,COUNCIL BLUFFS,IA,51501,67296,MISCELLANEOUS SCHNAPPS,Diageo Americas,Yukon Jack Perma Frost Schnapps,12,750,8.54,12.81,6,76.86
2012-01-31,3390,Okoboji Avenue Liquor,MILFORD,IA,51351,55088,BLACKBERRY BRANDIES,Luxco-St Louis,Paramount Blackberry Brandy,6,1750,10.75,16.12,6,96.72
2012-01-31,2645,Hy-Vee Drugstore / Muscatine,MUSCATINE,IA,52761,55084,BLACKBERRY BRANDIES,Luxco-St Louis,Paramount Blackberry Brandy,24,375,3.34,5.0,3,15.0
2012-01-31,4042,Lake Ohana Market / Mineola,GLENWOOD,IA,51534,67527,COFFEE LIQUEURS,Pernod Ricard USA/Austin Nichols,Kahlua Coffee Liqueur,12,1000,14.81,22.22,3,66.66
2012-01-31,4267,Main Street Market Of Anita,ANITA,IA,50020,86507,TRIPLE SEC,Luxco-St Louis,Paramount Triple Sec,12,1000,3.75,5.62,3,16.86
2012-01-31,2506,Hy-Vee #1044 / Burlington,BURLINGTON,IA,52601,26906,BOTTLED IN BOND BOURBON,Brown-Forman Corporation,Jack Daniels Single Barrel Why.,6,750,22.88,35.07,4,140.28
